claim_id,order_id_antigo,order_id_novo
5452283912,46166467147,2000014485610014
5452255929,46166257792,2000014484497674
5452194988,46152777038,2000014454079904
5452182932,46152630849,2000014454311934
5452168533,46165065623,2000014482409980
5452002282,46163089726,2000014477332664
5451992087,46161981376,2000014474850680
5451882587,46161033505,2000014473371188
5451867563,46159523329,2000014470139116
5451702898,46149792724,2000014447830914
5451678143,46152688883,2000014454456148
5451377387,46154778286,2000014458454126
5448211999,46085923325,2000014302859606
5451240185,46142035675,2000014431600020
5451219186,46153283346,2000014455105836
5450983036,46072844020,2000014271631854
5447632891,46083830918,2000014297183758
5451097041,46152456389,2000014453996374
5450700061,46148424469,2000014445554948
5450649641,46098781302,2000014331698022
5450648524,46100386026,2000014335247012
5450430944,46145285677,2000014438713966
5450375776,46141399680,2000014429702350
5450275435,46114681289,2000014368319986
5450243750,46141231326,2000014429356778
5450243168,46142217047,2000014431975482
5450205259,46143127492,2000014433376664
5450136121,46046427861,2000014214034008
5450113755,46142030038,2000014430990502
5450097345,46141630821,2000014430716828
5450072528,46089154705,2000014310565570
5450060052,46126527205,2000014394677354
5449837867,46130330178,2000014402921642
5449831553,46137889174,2000014421109022
5449803783,46135803626,2000014416086062
5449737271,46131462009,2000014406132364
5449722343,46136320070,2000014417271732
5449703407,46135596853,2000014416209256
5449498774,46127479118,2000014396231586
5449435804,46131112927,2000014405306838
5449312764,46130687478,2000014403699610
5449297697,46130442546,2000014403172816
5449290356,46130203679,2000014403239634
5449278615,46126260819,2000014394066414
5449215722,46129286287,2000014401272358
5449133511,46128034673,2000014398188294
5449066807,46118513152,2000014376048116
5449007854,46126477238,2000014393950742
5448868766,46108864201,2000014354972612
5448855756,46123751812,2000014387900060
5448758490,46119546938,2000014378281834
5448730813,46123092637,2000014387074728
5448729265,46116527694,2000014371662224
5448465278,46119425031,2000014378636038
5448409391,46118074009,2000014375635684
5448394715,46117680978,2000014374205578
5448276324,46099261858,2000014332709898
5448144401,46100885983,2000014336911984
5447890077,46087109439,2000014305798254
5445991622,45994979043,2000014100617674
5447810946,46106448051,2000014349765180
5447801983,46110118535,2000014357757576
5447764238,46095715847,2000014325257728
5447704056,46106960583,2000014350787642
5447624177,46107960400,2000014352363272
5447618807,46107885762,2000014352205292
5447608947,46102141863,2000014339694924
5447586562,46107067089,2000014351046090
5447538984,46101650309,2000014338623658
5447524262,46106574932,2000014349506290
5447448662,46098233722,2000014330484510
5447388710,46102777505,2000014341111412
5447274764,46090155122,2000014312115538
5447269625,46102542046,2000014340005030
5447176684,46101393610,2000014337467330
5447173995,46101213070,2000014337063444
5447077075,46099763990,2000014333827532
5447004631,46098202494,2000014330478014
5446934995,46096859970,2000014327408832
5446919709,46093090707,2000014319201338
5446842775,46094549673,2000014322543250
5446823781,46096002514,2000014325304844
5446569400,46092140569,2000014317091472
5446554120,46063140891,2000014250713146
5446520894,46086492050,2000014303611564
5446512323,46089640368,2000014311034394
5446435156,46087106632,2000014305146612
5446381258,46089760528,2000014311273416
5446154414,46083791313,2000014297744124
5446151510,46078173858,2000014283798570
5446087189,46083727061,2000014297581264
5446018850,46081400252,2000014291275220
5446001547,46063941128,2000014251866914
5445974458,46073538986,2000014273149822
5445952164,46081039197,2000014291043232
5445941584,46061146348,2000014245988912
5445760250,46077460466,2000014282171174
5445758105,45894126981,2000013874780078
5445719922,46077428301,2000014282687648
5445635925,46076650133,2000014281038600
5445624850,46077535153,2000014282976088
5445594114,46076353166,2000014279761972
5445569702,46076929428,2000014281050278
5445559548,46075005012,2000014276529958
5445525908,46076237569,2000014280141774
5445239116,46072076373,2000014270547970
5445226115,46066087235,2000014257129390
5445224001,46072105754,2000014270047354
5445154032,46070962327,2000014268111324
5445134989,46070950682,2000014267477228
5445055250,46069682986,2000014264675972
5445026628,46068223440,2000014261386008
5444981901,46062042399,2000014248341686
5444855610,46052114246,2000014226007062
5444842344,46065036045,2000014254838370
5444758045,46061943766,2000014247588274
5444689515,46064384987,2000014253429342
5444675928,46061941699,2000014248120506
5444463718,46059989307,2000014243875580
5444452390,46058168286,2000014239106962
5444277256,46056643220,2000014235781830
5444164723,46057196884,2000014236996730
5444119496,46056215100,2000014234875270
5443985056,46053706870,2000014229497012
5443949800,46053834562,2000014229753390
5443948451,46053946887,2000014230542092
5443864673,46048844968,2000014218682574
5443696378,46048975200,2000014218927374
5443673270,46049992866,2000014221143156
5443542419,46046968489,2000014215224392
5443365319,46045857132,2000014212271392
5443283498,45896536527,2000013880801192
5442851359,46037854137,2000014195056814
5442467992,46019468550,2000014152797630
5441072370,45993491214,2000014096547338
5441019002,45982480959,2000014072004352
5437404435,45906136557,2000013901179412
5439396529,45975249681,2000014054578424
5440409410,45987726125,2000014084352964
5439784673,45993079808,2000014095583570
5439501323,45990341362,2000014089459718
5439476637,45990120858,2000014088999134
5439338048,45988093050,2000014084580624
5439198799,45976404296,2000014056606000
5439149231,45980376946,2000014066283962
5438400877,45961335848,2000014021736580
5438326176,45965123489,2000014030921128
5437940364,45963186198,2000014025984368
5437793477,45960128653,2000014019503552
5437592924,45954661396,2000014006999956
5437269143,45951880651,2000014001430136
5437228421,45949026730,2000013994677358
5437181550,45950725955,2000013998831484
5437087256,45949349095,2000013995948854
5436647815,45941798981,2000013979626732
5436690390,45937068140,2000013968804986
